#,Pokémon,Tipo1,Tipo2,PS,Ataque,Defensa,Color
1,Bulbasaur,Planta,Veneno,45,49,49,[38;2;57;148;148m
2,Ivysaur,Planta,Veneno,60,62,63,[38;2;32;148;131m
3,Venusaur,Planta,Veneno,80,82,83,[38;2;32;180;156m
4,Charmander,Fuego,,39,52,43,[38;2;255;148;65m
5,Charmeleon,Fuego,,58,64,58,[38;2;205;57;57m
6,Charizard,Fuego,Volador,78,84,78,[38;2;238;131;41m
7,Squirtle,Agua,,44,48,65,[38;2;139;197;205m
8,Wartortle,Agua,,59,63,80,[38;2;139;172;246m
9,Blastoise,Agua,,79,83,100,[38;2;90;139;205m
10,Caterpie,Bicho,,45,30,35,[38;2;49;172;65m
11,Metapod,Bicho,,50,20,55,[38;2;106;139;90m
12,Butterfree,Bicho,Volador,60,45,50,[38;2;90;74;115m
13,Weedle,Bicho,Veneno,40,35,30,[38;2;205;115;16m
14,Kakuna,Bicho,Veneno,45,25,50,[38;2;205;156;16m
15,Beedrill,Bicho,Veneno,65,90,40,[38;2;230;148;32m
16,Pidgey,Normal,Volador,40,45,40,[38;2;164;98;90m
17,Pidgeotto,Normal,Volador,63,60,55,[38;2;255;230;139m
18,Pidgeot,Normal,Volador,83,80,75,[38;2;230;180;98m
19,Rattata,Normal,,30,56,35,[38;2;180;115;189m
20,Raticate,Normal,,55,81,60,[38;2;164;115;41m
21,Spearow,Normal,Volador,40,60,30,[38;2;156;82;24m
22,Fearow,Normal,Volador,65,90,65,[38;2;180;115;32m
23,Ekans,Veneno,,35,60,44,[38;2;205;98;180m
24,Arbok,Veneno,,60,95,69,[38;2;164;131;197m
25,Pikachu,Electrico,,35,55,40,[38;2;246;230;82m
26,Raichu,Electrico,,60,90,55,[38;2;246;172;41m
27,Sandshrew,Tierra,,50,75,85,[38;2;205;180;0m
28,Sandslash,Tierra,,75,100,110,[38;2;139;98;24m
29,Nidoran♀,Veneno,,55,47,52,[38;2;213;213;255m
30,Nidorina,Veneno,,70,62,67,[38;2;139;197;205m
31,Nidoqueen,Veneno,Tierra,90,92,87,[38;2;98;139;172m
32,Nidoran♂,Veneno,,46,57,40,[38;2;189;98;197m
33,Nidorino,Veneno,,61,72,57,[38;2;148;90;180m
34,Nidoking,Veneno,Tierra,81,102,77,[38;2;164;82;148m
35,Clefairy,Hada,,70,45,48,[38;2;255;213;189m
36,Clefable,Hada,,95,70,73,[38;2;255;197;180m
37,Vulpix,Fuego,,38,41,40,[38;2;230;148;106m
38,Ninetales,Fuego,,73,76,75,[38;2;246;230;123m
39,Jigglypuff,Normal,Hada,115,45,20,[38;2;255;172;164m
40,Wigglytuff,Normal,Hada,140,70,45,[38;2;255;172;189m
41,Zubat,Veneno,Volador,40,45,35,[38;2;139;180;238m
42,Golbat,Veneno,Volador,75,80,70,[38;2;98;131;205m
43,Oddish,Planta,Veneno,45,50,55,[38;2;115;148;164m
44,Gloom,Planta,Veneno,60,65,70,[38;2;74;106;123m
45,Vileplume,Planta,Veneno,75,80,85,[38;2;222;74;90m
46,Paras,Bicho,Planta,35,70,55,[38;2;230;131;41m
47,Parasect,Bicho,Planta,60,95,80,[38;2;238;49;49m
48,Venonat,Bicho,Veneno,60,55,50,[38;2;139;106;164m
49,Venomoth,Bicho,Veneno,70,65,60,[38;2;238;197;255m
50,Diglett,Tierra,,10,55,25,[38;2;197;115;65m
51,Dugtrio,Tierra,,35,100,50,[38;2;161;93;51m
52,Meowth,Normal,,40,45,35,[38;2;255;230;131m
53,Persian,Normal,,65,70,60,[38;2;222;180;106m
54,Psyduck,Agua,,50,52,48,[38;2;255;213;74m
55,Golduck,Agua,,80,82,78,[38;2;139;172;213m
56,Mankey,Lucha,,40,80,35,[38;2;246;222;180m
57,Primeape,Lucha,,65,105,60,[38;2;230;189;156m
58,Growlithe,Fuego,,55,70,45,[38;2;238;139;74m
59,Arcanine,Fuego,,90,110,80,[38;2;238;115;49m
60,Poliwag,Agua,,40,50,40,[38;2;82;131;197m
61,Poliwhirl,Agua,,65,65,65,[38;2;72;116;176m
62,Poliwrath,Agua,Lucha,90,95,95,[38;2;57;90;131m
63,Abra,Psiquico,,25,20,15,[38;2;255;230;41m
64,Kadabra,Psiquico,,40,35,30,[38;2;213;189;8m
65,Alakazam,Psiquico,,55,50,45,[38;2;255;238;24m
66,Machop,Lucha,,70,80,50,[38;2;148;189;189m
67,Machoke,Lucha,,80,100,70,[38;2;189;156;230m
68,Machamp,Lucha,,90,130,80,[38;2;131;139;148m
69,Bellsprout,Planta,Veneno,50,75,35,[38;2;246;230;115m
70,Weepinbell,Planta,Veneno,65,90,50,[38;2;213;197;82m
71,Victreebel,Planta,Veneno,80,105,65,[38;2;222;189;82m
72,Tentacool,Agua,Veneno,40,40,35,[38;2;106;180;230m
73,Tentacruel,Agua,Veneno,80,70,65,[38;2;37;111;161m
74,Geodude,Roca,Tierra,40,80,100,[38;2;156;148;131m
75,Graveler,Roca,Tierra,55,95,115,[38;2;180;180;156m
76,Golem,Roca,Tierra,80,120,130,[38;2;156;139;82m
77,Ponyta,Fuego,,50,85,55,[38;2;255;238;205m
78,Rapidash,Fuego,,65,100,70,[38;2;238;197;139m
79,Slowpoke,Agua,Psiquico,90,65,65,[38;2;222;98;123m
80,Slowbro,Agua,Psiquico,95,75,110,[38;2;230;106;123m
81,Magnemite,Electrico,Acero,25,35,70,[38;2;139;180;164m
82,Magneton,Electrico,Acero,50,60,95,[38;2;126;148;139m
83,Farfetch'd,Normal,Volador,52,90,55,[38;2;131;106;32m
84,Doduo,Normal,Volador,35,85,45,[38;2;148;106;90m
85,Dodrio,Normal,Volador,60,110,70,[38;2;205;156;82m
86,Seel,Agua,,65,45,55,[38;2;213;205;238m
87,Dewgong,Agua,Hielo,90,70,80,[38;2;230;230;246m
88,Grimer,Veneno,,80,80,50,[38;2;148;74;156m
89,Muk,Veneno,,105,105,75,[38;2;189;123;189m
90,Shellder,Agua,,30,65,100,[38;2;156;139;197m
91,Cloyster,Agua,Hielo,50,95,180,[38;2;123;82;131m
92,Gastly,Fantasma,Veneno,30,35,30,[38;2;57;41;57m
93,Haunter,Fantasma,Veneno,45,50,45,[38;2;131;90;106m
94,Gengar,Fantasma,Veneno,60,65,60,[38;2;90;74;156m
95,Onix,Roca,Tierra,35,45,160,[38;2;131;123;123m
96,Drowzee,Psiquico,,60,48,45,[38;2;246;222;0m
97,Hypno,Psiquico,,85,73,70,[38;2;214;186;4m
98,Krabby,Agua,,30,105,90,[38;2;255;115;49m
99,Kingler,Agua,,55,130,115,[38;2;238;139;74m
100,Voltorb,Electrico,,40,30,50,[38;2;255;82;32m
101,Electrode,Electrico,,60,50,70,[38;2;238;238;238m
102,Exeggcute,Planta,Psiquico,60,40,80,[38;2;255;213;172m
103,Exeggutor,Planta,Psiquico,95,95,85,[38;2;139;115;65m
104,Cubone,Tierra,,50,50,95,[38;2;197;156;74m
105,Marowak,Tierra,,60,80,110,[38;2;148;106;82m
106,Hitmonlee,Lucha,,50,120,53,[38;2;205;164;131m
107,Hitmonchan,Lucha,,50,105,79,[38;2;205;180;123m
108,Lickitung,Normal,,90,55,75,[38;2;238;115;106m
109,Koffing,Veneno,,40,65,95,[38;2;189;123;180m
110,Weezing,Veneno,,65,90,120,[38;2;189;139;205m
111,Rhyhorn,Tierra,Roca,80,85,95,[38;2;131;131;172m
112,Rhydon,Tierra,Roca,105,130,120,[38;2;139;139;148m
113,Chansey,Normal,,250,5,5,[38;2;255;213;213m
114,Tangela,Planta,,65,55,115,[38;2;65;123;148m
115,Kangaskhan,Normal,,105,95,80,[38;2;156;123;115m
116,Horsea,Agua,,30,40,70,[38;2;106;148;180m
117,Seadra,Agua,,55,65,95,[38;2;106;131;156m
118,Goldeen,Agua,,45,67,60,[38;2;213;213;222m
119,Seaking,Agua,,80,92,65,[38;2;230;115;65m
120,Staryu,Agua,,30,45,55,[38;2;156;106;57m
121,Starmie,Agua,Psiquico,60,75,85,[38;2;90;82;156m
122,Mr. Mime,Psiquico,Hada,40,45,65,[38;2;255;90;106m
123,Scyther,Bicho,Volador,70,110,80,[38;2;139;205;115m
124,Jynx,Hielo,Psiquico,65,50,35,[38;2;148;74;189m
125,Electabuzz,Electrico,,65,83,57,[38;2;197;164;16m
126,Magmar,Fuego,,65,95,57,[38;2;255;74;49m
127,Pinsir,Bicho,,65,125,100,[38;2;197;172;139m
128,Tauros,Normal,,75,100,95,[38;2;222;164;74m
129,Magikarp,Agua,,20,10,55,[38;2;246;98;24m
130,Gyarados,Agua,Volador,95,125,79,[38;2;32;139;172m
